fecha,local,visitante,elo_local,elo_visitante,marcador_mas_probable,prob_marcador_exacto,top3_marcadores,prob_local_ensemble,prob_empate_ensemble,prob_visita_ensemble
2026-07-02,Spain,Austria,2189.1,1886.6,1-0,0.13,1-0 (13.0%) | 1-1 (11.7%) | 2-0 (11.7%),0.685,0.214,0.101
2026-07-02,Portugal,Croatia,2050.9,1959.8,1-1,0.129,1-1 (12.9%) | 1-0 (12.0%) | 2-0 (9.6%),0.552,0.268,0.18
2026-07-02,Switzerland,Algeria,1967.0,1875.4,1-1,0.13,1-1 (13.0%) | 1-0 (9.6%) | 2-1 (8.8%),0.481,0.285,0.234
2026-07-03,Australia,Egypt,1890.8,1848.0,0-0,0.177,0-0 (17.7%) | 1-0 (15.5%) | 1-1 (13.9%),0.343,0.365,0.292
2026-07-03,Argentina,Cape Verde,2209.3,1699.1,2-0,0.183,2-0 (18.3%) | 1-0 (17.6%) | 3-0 (12.5%),0.839,0.12,0.041
2026-07-03,Colombia,Ghana,2073.0,1687.0,1-0,0.155,1-0 (15.5%) | 2-0 (14.7%) | 1-1 (10.1%),0.761,0.174,0.065
2026-07-04,Canada,Morocco,1860.8,2007.9,0-1,0.178,0-1 (17.8%) | 0-0 (17.5%) | 1-1 (13.3%),0.174,0.325,0.501
2026-07-04,Paraguay,France,1886.4,2182.9,0-1,0.161,0-1 (16.1%) | 0-2 (12.6%) | 1-1 (12.2%),0.104,0.199,0.697
2026-07-05,Brazil,Norway,2106.1,1985.5,1-1,0.114,1-1 (11.4%) | 2-1 (9.9%) | 1-0 (9.8%),0.556,0.264,0.181
2026-07-05,Mexico,England,2030.1,2098.1,1-1,0.137,1-1 (13.7%) | 0-1 (13.1%) | 0-0 (11.3%),0.219,0.315,0.466
2026-07-06,United States,Belgium,1877.5,1967.6,1-1,0.115,1-1 (11.5%) | 1-2 (9.5%) | 0-1 (8.1%),0.201,0.269,0.53
