fecha,local,visitante,elo_local,elo_visitante,marcador_mas_probable,prob_marcador_exacto,top3_marcadores,prob_local_ensemble,prob_empate_ensemble,prob_visita_ensemble
2026-07-01,England,DR Congo,2088.3,1803.6,1-0,0.2,1-0 (20.0%) | 0-0 (15.4%) | 2-0 (14.3%),0.682,0.22,0.098
2026-07-01,Belgium,Senegal,1941.7,1893.8,1-1,0.133,1-1 (13.3%) | 1-0 (11.9%) | 0-0 (9.6%),0.476,0.297,0.227
2026-07-01,United States,Bosnia and Herzegovina,1862.3,1685.5,2-0,0.108,2-0 (10.8%) | 1-1 (10.6%) | 1-0 (10.4%),0.687,0.196,0.117
2026-07-02,Spain,Austria,2189.1,1886.6,1-0,0.13,1-0 (13.0%) | 1-1 (11.7%) | 2-0 (11.7%),0.689,0.21,0.101
2026-07-02,Portugal,Croatia,2050.9,1959.8,1-1,0.129,1-1 (12.9%) | 1-0 (12.0%) | 2-0 (9.6%),0.542,0.273,0.184
2026-07-02,Switzerland,Algeria,1967.0,1875.4,1-1,0.13,1-1 (13.0%) | 1-0 (9.6%) | 2-1 (8.8%),0.473,0.292,0.235
2026-07-03,Australia,Egypt,1890.8,1848.0,0-0,0.177,0-0 (17.7%) | 1-0 (15.5%) | 1-1 (13.9%),0.343,0.373,0.284
2026-07-03,Argentina,Cape Verde,2209.3,1699.1,2-0,0.183,2-0 (18.3%) | 1-0 (17.6%) | 3-0 (12.5%),0.838,0.124,0.039
2026-07-03,Colombia,Ghana,2073.0,1687.0,1-0,0.155,1-0 (15.5%) | 2-0 (14.7%) | 1-1 (10.1%),0.76,0.176,0.064
2026-07-04,Canada,Morocco,1860.8,2007.9,0-1,0.178,0-1 (17.8%) | 0-0 (17.5%) | 1-1 (13.3%),0.17,0.319,0.51
2026-07-04,Paraguay,France,1886.4,2182.9,0-1,0.161,0-1 (16.1%) | 0-2 (12.6%) | 1-1 (12.2%),0.1,0.193,0.706
2026-07-05,Brazil,Norway,2106.1,1985.5,1-1,0.114,1-1 (11.4%) | 2-1 (9.9%) | 1-0 (9.8%),0.552,0.263,0.184
